Label,Field Type,Options/Other Details,Sub Category,Category,Unique ID,Description,Is Required,Is Hidden
Profile Issue Type,Dropdown,Cannot Update Phone | Cannot Update Email | Cannot Change Password | Profile Photo Issue | Emergency Contact Issue | Preferences Not Saving | Incorrect Information Displayed | Other,Profile Management,Booking & Technology,BT-053,Type of profile issue,Yes,No
Field Affected,Dropdown,Name | Phone Number | Email | Password | Date of Birth | Emergency Contact | Medical Information | Profile Photo | Communication Preferences | Multiple Fields | Other,Profile Management,Booking & Technology,BT-054,Which profile field has issue,Yes,No
Attempted Update,Text,What client tried to change,Profile Management,Booking & Technology,BT-055,Details of attempted change,Yes,No
Error Encountered,Text,Error message or behavior,Profile Management,Booking & Technology,BT-056,What went wrong,No,No
Update Completed Manually,Radio,Yes | No,Profile Management,Booking & Technology,BT-057,Whether staff updated it,Yes,No
Data Accuracy Verified,Radio,Yes | No,Profile Management,Booking & Technology,BT-058,Profile information confirmed correct,Yes,No
Visibility Issue Type,Dropdown,Favorite Instructor Not Showing | Schedule Not Updating | Wrong Studio Displayed | Classes Missing from Schedule | Filter Not Working | Past Classes Still Showing | Other,Class Visibility,Booking & Technology,BT-059,Type of visibility issue,Yes,No
Affected View,Dropdown,All Classes | Favorite Instructors | Specific Location | Specific Class Type | Schedule Calendar | Search Results,Class Visibility,Booking & Technology,BT-060,Where issue appears,Yes,No
Expected to See,Text,What should be displayed,Class Visibility,Booking & Technology,BT-061,What client expected to view,Yes,No
Actually Seeing,Text,What is currently displayed,Class Visibility,Booking & Technology,BT-062,Current incorrect display,Yes,No
Date Range Affected,Text,Which dates are problematic,Class Visibility,Booking & Technology,BT-063,Timeline of visibility issue,No,No
Filter Settings Used,Text,Any filters client applied,Class Visibility,Booking & Technology,BT-064,Active filter configuration,No,No
Classes Actually Available,Radio,Yes | No | Unclear,Class Visibility,Booking & Technology,BT-065,Whether classes exist in system,Yes,No
Payment Issue Type,Dropdown,Transaction Failed | Amount Deducted But Booking Failed | Duplicate Charge | Payment Method Rejected | Gateway Timeout | Wrong Amount Charged | Refund Not Processed | Other,Payment Gateway,Booking & Technology,BT-066,Type of payment issue,Yes,No
Product Type,Dropdown,Memberships | Sessions/Single Classes | Privates | Class Packages | Credits | Retail | Gift Cards | Others,Payment Gateway,Booking & Technology,BT-067,What was being purchased,Yes,No
Package/Product,Dropdown,Barre 1 month Unlimited | Studio 2 Week Unlimited | Studio Single Class | Session | Private Class | Studio 8 Class Package | Studio 10 Class Package | Money Credits | Studio Private Class | Retail | Studio 4 Class Package | Studio 1 Month Unlimited | Studio 3 Month Unlimited | Studio Annual Unlimited | Studio Newcomers 2 For 1 | Studio 12 Class Package | Studio 10 Single Class Package | Studio 30 Single Class Package | Studio 20 Single Class Package | Barre 6 month Unlimited | Studio 6 Month Unlimited | Barre 2 week Unlimited | Studio 3 Month Unlimited - Monthly | Gift Card | Newcomer 8 Class Package | Studio 6 Week Unlimited,Payment Gateway,Booking & Technology,BT-068,Specific package purchased,Yes,No
Expected Amount,Number,Correct charge amount,Payment Gateway,Booking & Technology,BT-069,What should have been charged,Yes,No
Amount Charged,Number,Actual amount deducted,Payment Gateway,Booking & Technology,BT-070,What was actually charged,Yes,No
Payment Method,Dropdown,Credit Card | Debit Card | UPI | Net Banking | Wallet | Cash | Other,Payment Gateway,Booking & Technology,BT-071,How payment was attempted,Yes,No
Transaction ID,Text,Bank/gateway transaction reference,Payment Gateway,Booking & Technology,BT-072,Payment reference number,No,No
Transaction Date & Time,DateTime,When payment was attempted,Payment Gateway,Booking & Technology,BT-073,Timestamp of transaction,Yes,No
Purchase Completed,Radio,Yes | No,Payment Gateway,Booking & Technology,BT-074,Whether purchase went through,Yes,No
Refund Required,Radio,Yes | No,Payment Gateway,Booking & Technology,BT-075,If money needs to be returned,Yes,No
Refund Amount,Number,Amount to be refunded,Payment Gateway,Booking & Technology,BT-076,Refund value,No,No
Refund Processed,Radio,Yes | No | Pending,Payment Gateway,Booking & Technology,BT-077,Status of refund,No,No
Support Issue Type,Dropdown,No Response to Tech Query | Issue Still Unresolved | Passed Between Departments | Long Resolution Time | No Follow-up | Other,Technical Support,Booking & Technology,BT-078,Type of support issue,Yes,No
Original Issue,Text,What technical problem started this,Technical Support,Booking & Technology,BT-079,Initial technical complaint,Yes,No
Previous Ticket Number,Text,If previous ticket exists,Technical Support,Booking & Technology,BT-080,Reference to earlier ticket,No,No
How Long Pending,Number,Days since first reported,Technical Support,Booking & Technology,BT-081,Duration of unresolved issue,Yes,No
Support Channels Used,Multi-select,Phone | Email | Chat | In-Person | Social Media,Technical Support,Booking & Technology,BT-082,Where client sought help,Yes,No
Number of Contacts Made,Number,How many times client reached out,Technical Support,Booking & Technology,BT-083,Contact attempts count,Yes,No
Departments Involved,Multi-select,Operations | Facilities | Training | Sales | Client Success | Marketing | Finance | Management,Technical Support,Booking & Technology,BT-084,Teams that handled the issue,Yes,No
Current Status of Original Issue,Dropdown,Still Unresolved | Partially Resolved | Now Resolved | Unknown,Technical Support,Booking & Technology,BT-085,State of original problem,Yes,No
Service Issue Type,Dropdown,Rude Behavior | Unhelpful Attitude | Lack of Product Knowledge | Inattentive/Distracted | Unprofessional Appearance | Not Greeting Clients | Other,Front Desk Service,Customer Service,CS-001,Type of service issue,Yes,No
Specific Associate,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar | Prefer Not to Name,Front Desk Service,Customer Service,CS-002,Associate involved (if known),Yes,No
Incident Description,Long Text,Detailed account of interaction,Front Desk Service,Customer Service,CS-003,What happened during interaction,Yes,No
Witness Present,Radio,Yes | No,Front Desk Service,Customer Service,CS-004,Were others present,No,No
Client Request,Text,What client was trying to accomplish,Front Desk Service,Customer Service,CS-005,Purpose of client interaction,Yes,No
Request Fulfilled,Radio,Yes | No | Partially,Front Desk Service,Customer Service,CS-006,Whether client got what they needed,Yes,No
Immediate Action Taken,Text,How situation was handled on spot,Front Desk Service,Customer Service,CS-007,Real-time resolution attempt,Yes,No
Manager Informed,Radio,Yes | No,Front Desk Service,Customer Service,CS-008,Whether escalated immediately,Yes,No
Response Issue Type,Dropdown,Delayed Email Response | Delayed Phone Callback | No Response Received | Automated Response Only | No Follow-up | Other,Response Time,Customer Service,CS-009,Type of response delay,Yes,No
Communication Channel,Dropdown,Email | Phone Call | WhatsApp | SMS | Social Media DM | In-App Chat,Response Time,Customer Service,CS-010,How client contacted us,Yes,No
Initial Contact Date,DateTime,When client first reached out,Response Time,Customer Service,CS-011,Timestamp of first contact,Yes,No
Response Received Date,DateTime,When response was given (if any),Response Time,Customer Service,CS-012,Timestamp of our response,,
Resolution Issue Type,Dropdown,Issue Still Unresolved | Passed Between Departments | No Accountability Taken | Conflicting Solutions Given | Resolution Not Implemented | Other,Issue Resolution,Customer Service,CS-017,Type of resolution problem,Yes,No
Original Issue Category,Dropdown,Booking & Technology | Customer Service | Sales & Marketing | Health & Safety | Billing/Financial | Class/Instructor | Facility | Other,Issue Resolution,Customer Service,CS-018,Category of original complaint,Yes,No
Original Issue Description,Long Text,Details of the initial problem,Issue Resolution,Customer Service,CS-019,What was the original complaint,Yes,No
First Reported Date,Date,When issue was first raised,Issue Resolution,Customer Service,CS-020,Initial complaint date,Yes,No
Days Since First Report,Number,Calculate from above,Issue Resolution,Customer Service,CS-021,How long issue has been open,Yes,Yes
Departments Contacted,Multi-select,Operations | Facilities | Training | Sales | Client Success | Marketing | Finance | Management,Issue Resolution,Customer Service,CS-022,Which teams were involved,Yes,No
Number of Escalations,Number,How many times elevated,Issue Resolution,Customer Service,CS-023,Escalation count,Yes,No
Promised Resolution Date,Date,If timeline was committed,Issue Resolution,Customer Service,CS-024,When resolution was promised,No,No
Current Status,Dropdown,Still Open | Partially Resolved | Resolved But Client Unhappy | Unresolved After Multiple Attempts,Issue Resolution,Customer Service,CS-025,Present state of issue,Yes,No
Resolution Blockers,Text,What's preventing resolution,Issue Resolution,Customer Service,CS-026,Obstacles to solving issue,No,No
Communication Issue Type,Dropdown,Poor/Unclear Communication | Language Barrier | Incorrect Information Given | Conflicting Information | Information Not Conveyed | Miscommunication | Other,Communication Quality,Customer Service,CS-027,Type of communication problem,Yes,No
Communication Channel,Dropdown,In-Person | Phone | Email | WhatsApp | SMS | Social Media | In-App,Communication Quality,Customer Service,CS-028,Mode of communication,Yes,No
Information Topic,Text,What was being communicated about,Communication Quality,Customer Service,CS-029,Subject matter discussed,Yes,No
What Was Communicated,Long Text,What client was told/sent,Communication Quality,Customer Service,CS-030,Content of communication,Yes,No
What Should Have Been Said,Long Text,Correct information,Communication Quality,Customer Service,CS-031,Accurate information,Yes,No
Impact on Client,Dropdown,No Action Taken | Wrong Action Taken | Financial Loss | Missed Class | Booking Error | Trust Impacted | Other,Communication Quality,Customer Service,CS-032,Consequence of miscommunication,Yes,No
Multiple Associates Gave Different Info,Radio,Yes | No | N/A,Communication Quality,Customer Service,CS-033,Conflicting information from team,Yes,No
Correction Communicated,Radio,Yes | No,Communication Quality,Customer Service,CS-034,Whether client was informed of correct info,Yes,No
Knowledge Gap Type,Dropdown,Class Information Lacking | Membership Details Unknown | Unable to Guide on Packages | Incorrect Policy Information | Doesn't Know System Process | Product Details Wrong | Other,Staff Knowledge,Customer Service,CS-035,Type of knowledge gap,Yes,No
Topic Client Asked About,Text,What information client needed,Staff Knowledge,Customer Service,CS-036,Subject of inquiry,Yes,No
Information Given,Text,What staff member said/provided,Staff Knowledge,Customer Service,CS-037,Response provided,Yes,No
Correct Information,Text,What should have been said,Staff Knowledge,Customer Service,CS-038,Accurate information,Yes,No
Associate Involved,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar | Multiple Staff | Prefer Not to Name,Staff Knowledge,Customer Service,CS-039,Who provided information,Yes,No
Staff Admitted Uncertainty,Radio,Yes | No,Staff Knowledge,Customer Service,CS-040,Whether staff acknowledged not knowing,No,No
Offered to Find Out,Radio,Yes | No,Staff Knowledge,Customer Service,CS-041,Whether staff offered to get info,No,No
Client Got Correct Info Eventually,Radio,Yes | No,Staff Knowledge,Customer Service,CS-042,Whether issue was rectified,Yes,No
Availability Issue Type,Dropdown,No One at Desk | Long Wait Time | Understaffed During Peak Hours | Staff Took Too Long | Had to Search for Staff | Staff on Personal Call/Break | Other,Staff Availability,Customer Service,CS-043,Type of availability issue,Yes,No
Time of Day,Dropdown,Early Morning (6-9 AM) | Morning (9-12 PM) | Afternoon (12-5 PM) | Evening (5-8 PM) | Night (8-10 PM),Staff Availability,Customer Service,CS-044,When issue occurred,Yes,No
Day of Week,Dropdown,Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday,Staff Availability,Customer Service,CS-045,Which day,Yes,No
Wait Time,Number,Minutes client waited,Staff Availability,Customer Service,CS-046,Duration of wait,Yes,No
Number of Clients Waiting,Number,Others waiting at same time,Staff Availability,Customer Service,CS-047,Queue length,No,No
Staff Present,Number,How many staff were visible,Staff Availability,Customer Service,CS-048,Staff count,No,No
Client Requirement,Text,What client needed help with,Staff Availability,Customer Service,CS-049,Purpose of seeking assistance,Yes,No
Eventually Assisted,Radio,Yes | No,Staff Availability,Customer Service,CS-050,Whether client got help,Yes,No
Client Left Without Assistance,Radio,Yes | No,Staff Availability,Customer Service,CS-051,Whether client gave up waiting,Yes,No
Complaint Handling Issue,Dropdown,Dismissive Attitude | Defensive Response | No Apology Given | Not Taken Seriously | No Escalation Option Provided | Blamed Client | No Solution Offered | Other,Complaint Handling,Customer Service,CS-052,How complaint was poorly handled,Yes,No
Original Complaint Category,Dropdown,Booking & Technology | Customer Service | Sales & Marketing | Health & Safety | Billing/Financial | Class/Instructor | Facility | Other,Complaint Handling,Customer Service,CS-053,What was being complained about,Yes,No
Original Complaint Summary,Long Text,Brief description of original issue,Complaint Handling,Customer Service,CS-054,The initial complaint,Yes,No
Who Received Complaint,Dropdown,Front Desk Staff | Manager | Email Support | Phone Support | Social Media Team | Trainer | Other,Complaint Handling,Customer Service,CS-055,Who client complained to,Yes,No
Associate Name,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar | Prefer Not to Name,Complaint Handling,Customer Service,CS-056,Specific person (if known),No,No
Response Given,Long Text,What was said to client,Complaint Handling,Customer Service,CS-057,Staff response to complaint,Yes,No
Client Felt Heard,Radio,Yes | No,Complaint Handling,Customer Service,CS-058,Whether client felt acknowledged,Yes,No
Solution Offered,Radio,Yes | No,Complaint Handling,Customer Service,CS-059,Whether resolution was provided,Yes,No
Escalation Requested,Radio,Yes | No,Complaint Handling,Customer Service,CS-060,Client asked for manager/higher authority,Yes,No
Escalation Provided,Radio,Yes | No | N/A,Complaint Handling,Customer Service,CS-061,Whether escalation happened,No,No
Phone Support Issue Type,Dropdown,Phone Unreachable | Long Hold Time | Call Disconnected | No Callback Received | Transferred Multiple Times | IVR Issues | Wrong Department | Other,Phone Support,Customer Service,CS-062,Type of phone support issue,Yes,No
Phone Number Called,Text,Which studio/support number,Phone Support,Customer Service,CS-063,Number dialed,Yes,No
Number of Attempts,Number,How many times client called,Phone Support,Customer Service,CS-064,Call attempts,Yes,No
Call Connected,Radio,Yes | No,Phone Support,Customer Service,CS-065,Whether call went through,Yes,No
Hold Time,Number,Minutes on hold,Phone Support,Customer Service,CS-066,Wait duration,No,No
Call Disconnected,Radio,Yes | No,Phone Support,Customer Service,CS-067,Whether call dropped,No,No
Callback Promised,Radio,Yes | No,Phone Support,Customer Service,CS-068,Staff said they'd call back,No,No
Callback Received,Radio,Yes | No | N/A,Phone Support,Customer Service,CS-069,Whether callback happened,No,No
Issue Resolved on Call,Radio,Yes | No | N/A,Phone Support,Customer Service,CS-070,Whether problem was solved,No,No
Support Channel,Dropdown,Email | In-App Chat | WhatsApp Chat | Website Chat,Email/Chat Support,Customer Service,CS-071,Which channel was used,Yes,No
Support Issue Type,Dropdown,Very Slow Response | Generic/Template Replies | Issue Not Resolved | No Follow-up | Transferred to Another Channel | Auto-Response Only | Other,Email/Chat Support,Customer Service,CS-072,Type of support issue,Yes,No
Initial Message Date,DateTime,When client first messaged,Email/Chat Support,Customer Service,CS-073,First contact timestamp,Yes,No
Response Received Date,DateTime,When we replied,Email/Chat Support,Customer Service,CS-074,Our response timestamp,No,No
Hours to First Response,Number,Calculate from above,Email/Chat Support,Customer Service,CS-075,Time to respond,Yes,Yes
Query Topic,Text,What client asked about,Email/Chat Support,Customer Service,CS-076,Subject of message,Yes,No
Number of Exchanges,Number,Back and forth count,Email/Chat Support,Customer Service,CS-077,Message thread length,Yes,No
Issue Resolved,Radio,Yes | No | Partially,Email/Chat Support,Customer Service,CS-078,Whether query was answered,Yes,No
Response Quality,Dropdown,Helpful & Complete | Generic/Unhelpful | Wrong Information | Didn't Address Query | N/A,Email/Chat Support,Customer Service,CS-079,Quality of support received,Yes,No
Professionalism Issue Type,Dropdown,Staff Gossiping | Using Personal Phone | Eating at Desk | Inappropriate Conversations | Unprofessional Attire | Not Focused on Clients | Other,Staff Professionalism,Customer Service,CS-080,Type of unprofessional behavior,Yes,No
Behavior Description,Long Text,Detailed account of what was observed,Staff Professionalism,Customer Service,CS-081,What happened,Yes,No
Associate Involved,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar | Multiple Staff | Prefer Not to Name,Staff Professionalism,Customer Service,CS-082,Who was involved,Yes,No
Client Directly Impacted,Radio,Yes | No,Staff Professionalism,Customer Service,CS-083,Whether behavior affected client,Yes,No
Impact Description,Text,How client was affected,Staff Professionalism,Customer Service,CS-084,Nature of impact,No,No
Others Present,Radio,Yes | No,Staff Professionalism,Customer Service,CS-085,Were other clients there,No,No
Client Spoke to Staff About It,Radio,Yes | No,Staff Professionalism,Customer Service,CS-086,Whether client addressed it,No,No
Staff Response,Text,How staff reacted if confronted,Staff Professionalism,Customer Service,CS-087,Staff reaction,No,No
Newcomer Issue Type,Dropdown,No Orientation Provided | Poor Onboarding | Lack of Guidance | Not Welcomed | Studio Tour Not Given | Equipment Explanation Missing | First Class Experience Poor | Other,Newcomer Experience,Customer Service,CS-088,Type of newcomer issue,Yes,No
Client's First Visit,Radio,Yes | No,Newcomer Experience,Customer Service,CS-089,Was this their very first time,Yes,No
Trial Class,Radio,Yes | No,Newcomer Experience,Customer Service,CS-090,Was it a trial/intro class,Yes,No
Class Attended,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Newcomer Experience,Customer Service,CS-091,First class type,Yes,No
Trainer,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Newcomer Experience,Customer Service,CS-092,Instructor for first class,Yes,No
Orientation Provided,Radio,Yes - Adequate | Yes - Rushed | No,Newcomer Experience,Customer Service,CS-093,Whether orientation given,Yes,No
Studio Tour Given,Radio,Yes | No,Newcomer Experience,Customer Service,CS-094,Whether shown around,Yes,No
Equipment Explained,Radio,Yes | No,Newcomer Experience,Customer Service,CS-095,Props/equipment demo given,Yes,No
Staff Welcoming,Radio,Very Welcoming | Somewhat | Not Welcoming,Newcomer Experience,Customer Service,CS-096,How welcoming staff was,Yes,No
What Was Missing,Long Text,Specific gaps in onboarding,Newcomer Experience,Customer Service,CS-097,Details of poor experience,Yes,No
Likely to Return,Dropdown,Definitely Yes | Probably Yes | Unsure | Probably No | Definitely No,Newcomer Experience,Customer Service,CS-098,Client's stated intention,Yes,No
Misleading Info Type,Dropdown,False Promises About Results | Exaggerated Package Benefits | Pressure Tactics Used | Hidden Terms Not Disclosed | Pricing Misinformation | Contract Terms Misrepresented | Other,Misleading Information,Sales & Marketing,SM-001,Type of misleading information,Yes,No
Information Source,Dropdown,Sales Call | Email Campaign | Social Media Ad | Website | In-Person Sales Pitch | WhatsApp Message | Referral Partner | Other,Misleading Information,Sales & Marketing,SM-002,Where information came from,Yes,No
Sales Associate,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar | Not Applicable | Unknown,Misleading Information,Sales & Marketing,SM-003,Who provided information,No,No
What Was Claimed,Long Text,Specific claims made,Misleading Information,Sales & Marketing,SM-004,The misleading statement,Yes,No
Actual Reality,Long Text,What is actually true,Misleading Information,Sales & Marketing,SM-005,Correct information,Yes,No
Product/Package Involved,Dropdown,Barre 1 month Unlimited | Studio 2 Week Unlimited | Studio Single Class | Session | Private Class | Studio 8 Class Package | Studio 10 Class Package | Money Credits | Studio Private Class | Retail | Studio 4 Class Package | Studio 1 Month Unlimited | Studio 3 Month Unlimited | Studio Annual Unlimited | Studio Newcomers 2 For 1 | Studio 12 Class Package | Studio 10 Single Class Package | Studio 30 Single Class Package | Studio 20 Single Class Package | Barre 6 month Unlimited | Studio 6 Month Unlimited | Barre 2 week Unlimited | Studio 3 Month Unlimited - Monthly | Gift Card | Newcomer 8 Class Package | Studio 6 Week Unlimited | General,Misleading Information,Sales & Marketing,SM-006,What was being sold,Yes,No
Client Made Purchase,Radio,Yes | No,Misleading Information,Sales & Marketing,SM-007,Whether client bought it,Yes,No
Purchase Amount,Number,"If purchased, the value",Misleading Information,Sales & Marketing,SM-008,Transaction value,No,No
Refund Requested,Radio,Yes | No | N/A,Misleading Information,Sales & Marketing,SM-009,Client wants money back,No,No
Client Expectation,Text,What client expected to get,Misleading Information,Sales & Marketing,SM-010,Client's understanding,Yes,No
Aggressive Tactic Type,Dropdown,Excessive Follow-ups | Pressure to Upgrade | Unwanted Sales Calls | Hard Sell During Trial | Multiple Calls Per Day | Guilt Tactics | Time Pressure (limited offer) | Other,Aggressive Selling,Sales & Marketing,SM-011,Type of aggressive approach,Yes,No
Contact Method,Multi-select,Phone Calls | WhatsApp Messages | Emails | SMS | In-Person | Social Media DM,Aggressive Selling,Sales & Marketing,SM-012,How client was contacted,Yes,No
Frequency of Contact,Dropdown,Multiple Times Daily | Daily | Every Few Days | Weekly | One-Time But Intense,Aggressive Selling,Sales & Marketing,SM-013,How often contacted,Yes,No
Total Contact Attempts,Number,Number of times reached out,Aggressive Selling,Sales & Marketing,SM-014,Contact count,Yes,No
Sales Associate,Dropdown,Akshay Rane | Vahishta Fitter | Zaheer Agarbattiwala | Zahur Shaikh | Nadiya Shaikh | Admin Admin | Shipra Bhika | Imran Shaikh | Tahira Sayyed | Manisha Rathod | Sheetal Kataria | Priyanka Abnave | Api Serou | Prathap Kp | Pavanthika | Santhosh Kumar | Multiple People | Unknown,Aggressive Selling,Sales & Marketing,SM-015,Who was selling,No,No
What Was Being Sold,Dropdown,Barre 1 month Unlimited | Studio 2 Week Unlimited | Studio Single Class | Session | Private Class | Studio 8 Class Package | Studio 10 Class Package | Money Credits | Studio Private Class | Retail | Studio 4 Class Package | Studio 1 Month Unlimited | Studio 3 Month Unlimited | Studio Annual Unlimited | Studio Newcomers 2 For 1 | Studio 12 Class Package | Studio 10 Single Class Package | Studio 30 Single Class Package | Studio 20 Single Class Package | Barre 6 month Unlimited | Studio 6 Month Unlimited | Barre 2 week Unlimited | Studio 3 Month Unlimited - Monthly | Gift Card | Newcomer 8 Class Package | Studio 6 Week Unlimited,Aggressive Selling,Sales & Marketing,SM-016,Product being pushed,Yes,No
Client Expressed Not Interested,Radio,Yes - Once | Yes - Multiple Times | No,Aggressive Selling,Sales & Marketing,SM-017,Whether client declined,Yes,No
Contact Continued After Decline,Radio,Yes | No | N/A,Aggressive Selling,Sales & Marketing,SM-018,Selling continued despite no,No,No
Client Made Purchase,Radio,Yes - Under Pressure | Yes - Willingly | No,Aggressive Selling,Sales & Marketing,SM-019,Purchase outcome,Yes,No
Client Wants to Be Removed from List,Radio,Yes | No,Aggressive Selling,Sales & Marketing,SM-020,Opt-out requested,Yes,No
Trial Issue Type,Dropdown,Poor Trial Experience | No Proper Introduction | Rushed Enrollment | High Pressure Sale After Class | Not Told It Was Trial | Trial Restrictions Not Explained | Other,Trial Class Experience,Sales & Marketing,SM-021,Type of trial issue,Yes,No
Trial Package,Dropdown,Studio 2 Week Unlimited | Studio Newcomers 2 For 1 | Newcomer 8 Class Package | Studio Single Class | Other Trial Offer,Trial Class Experience,Sales & Marketing,SM-022,Which trial offer,Yes,No
Class Attended,Dropdown,Studio Barre 57 | Studio Foundations | Studio Barre 57 Express | Studio Cardio Barre | Studio FIT | Studio Mat 57 | Studio SWEAT In 30 | Studio Amped Up! | Studio Back Body Blaze | Studio Cardio Barre Plus | Studio Cardio Barre Express | Studio HIIT | Studio Back Body Blaze Express | Studio Recovery | Studio Hosted Class | Studio Trainer's Choice | Studio Pre/Post Natal | Studio Mat 57 Express | Studio PowerCycle Express | Studio PowerCycle | Studio Strength Lab (Pull) | Studio Strength Lab (Full Body) | Studio Strength Lab (Push) | Studio Strength Lab,Trial Class Experience,Sales & Marketing,SM-023,Trial class type,Yes,No
Class Date,Date,When trial class occurred,Trial Class Experience,Sales & Marketing,SM-024,Date of trial,Yes,No
Trainer,Dropdown,Anisha Shah | Atulan Purohit | Karanvir Bhatia | Mrigakshi Jaiswal | Reshma Sharma | Karan Bhatia | Pushyank Nahar | Shruti Kulkarni | Janhavi Jain | Rohan Dahima | Kajol Kanchan | Vivaran Dhasmana | Upasna Paranjpe | Richard D'Costa | Pranjali Jain | Saniya Jaiswal | Shruti Suresh | Cauveri Vikrant | Poojitha Bhaskar | Nishanth Raj | Siddhartha Kusuma | Simonelle De Vitre | Kabir Varma | Simran Dutt | Veena Narasimhan | Anmol Sharma | Bret Saldanha | Raunak Khemuka | Chaitanya Nahar | Sovena Shetty,Trial Class Experience,Sales & Marketing,SM-025,Instructor,Yes,No
Pre-Class Introduction,Radio,Yes - Adequate | Yes - Brief | No,Trial Class Experience,Sales & Marketing,SM-026,Was intro provided,Yes,No
Instructor Attention During Class,Dropdown,Excellent | Good | Minimal | None,Trial Class Experience,Sales & Marketing,SM-027,Instructor support level,Yes,No
Sales Pitch Timing,Dropdown,Before Class | Immediately After Class | Later Same Day | Follow-up Call/Message | No Pitch | Other,Trial Class Experience,Sales & Marketing,SM-028,When sales approach happened,Yes,No
Sales Approach Comfort Level,Dropdown,Comfortable | Slightly Pressured | Very Pressured | Not Applicable,Trial Class Experience,Sales & Marketing,SM-029,How client felt about sales,Yes,No
Purchased Membership,Radio,Yes | No,Trial Class Experience,Sales & Marketing,SM-030,Conversion outcome,Yes,No
Likely to Return,Dropdown,Definitely Yes | Probably Yes | Unsure | Probably No | Definitely No,Trial Class Experience,Sales & Marketing,SM-031,Return likelihood,Yes,No
Overload Type,Dropdown,Too Many Emails | Too Many SMS | Too Many WhatsApp Messages | Spam/Irrelevant Content | Same Message Multiple Channels | Daily Promotional Messages | Other,Communication Overload,Sales & Marketing,SM-032,Type of communication excess,Yes,No
Communication Channels,Multi-select,Email | SMS | WhatsApp | Phone Calls | Push Notifications | Social Media,Communication Overload,Sales & Marketing,SM-033,Which channels used,Yes,No
Frequency,Dropdown,Multiple Times Daily | Daily | 3-4 Times Per Week | Weekly | Occasional But Inappropriate,Communication Overload,Sales & Marketing,SM-034,How often contacted,Yes,No
Content Type,Multi-select,Class Promotions | Membership Offers | Event Invites | General Updates | Workshops | Retail Offers | Unrelated Content,Communication Overload,Sales & Marketing,SM-035,What messages were about,Yes,No
Client Preference,Dropdown,Wants Less Frequent | Wants Only Relevant Content | Wants Specific Topics Only | Wants to Unsubscribe Completely,Communication Overload,Sales & Marketing,SM-036,What client wants,Yes,No
Client,,,,,,,,
Social Media Issue Type,Dropdown,Inaccurate Information Posted | Unresponsive to DMs | Poor Engagement | Misleading Content | Inappropriate Content | Wrong Class Timings Shown | Unanswered Comments | Other,Social Media,Sales & Marketing,SM-039,Type of social media issue,Yes,No
